Key,English,简体中文
subtitles.entity.glow_squid.death,Glow Squid dies,发光鱿鱼：死亡
subtitles.entity.glow_squid.hurt,Glow Squid hurts,发光鱿鱼：受伤
subtitles.entity.glow_squid.squirt,Glow Squid shoots ink,发光鱿鱼：喷墨
subtitles.entity.goat.ambient,Goat bleats,山羊：咩~
subtitles.entity.goat.death,Goat dies,山羊：死亡
subtitles.entity.goat.eat,Goat eats,山羊：进食
subtitles.entity.goat.hurt,Goat hurts,山羊：受伤
subtitles.entity.goat.long_jump,Goat leaps,山羊：跳跃
subtitles.entity.goat.milk,Goat gets milked,山羊：被挤奶
subtitles.entity.goat.prepare_ram,Goat stomps,山羊：跺脚
subtitles.entity.goat.ram_impact,Goat rams,山羊：冲撞
subtitles.entity.goat.screaming.ambient,Goat bellows,山羊：喊叫
subtitles.entity.goat.step,Goat steps,山羊：脚步声
subtitles.entity.guardian.ambient,Guardian moans,守卫者：低鸣
subtitles.entity.guardian.ambient_land,Guardian flaps,守卫者：弹跳
subtitles.entity.guardian.attack,Guardian shoots,守卫者：射击
subtitles.entity.guardian.death,Guardian dies,守卫者：死亡
subtitles.entity.guardian.flop,Guardian flops,守卫者：落地
subtitles.entity.guardian.hurt,Guardian hurts,守卫者：受伤
subtitles.entity.hoglin.ambient,Hoglin growls,疣猪兽：咆哮
subtitles.entity.hoglin.angry,Hoglin growls angrily,疣猪兽：怒吼
subtitles.entity.hoglin.attack,Hoglin attacks,疣猪兽：攻击
subtitles.entity.hoglin.converted_to_zombified,Hoglin converts to Zoglin,疣猪兽：转化为僵尸疣猪兽
subtitles.entity.hoglin.death,Hoglin dies,疣猪兽：死亡
subtitles.entity.hoglin.hurt,Hoglin hurts,疣猪兽：受伤
subtitles.entity.hoglin.retreat,Hoglin retreats,疣猪兽：退缩
subtitles.entity.hoglin.step,Hoglin steps,疣猪兽：脚步声
subtitles.entity.horse.ambient,Horse neighs,马：嘶鸣
subtitles.entity.horse.angry,Horse neighs,马：嘶鸣
subtitles.entity.horse.armor,Horse armor equips,马铠：装备
subtitles.entity.horse.breathe,Horse breathes,马：呼吸
subtitles.entity.horse.death,Horse dies,马：死亡
subtitles.entity.horse.eat,Horse eats,马：进食
subtitles.entity.horse.gallop,Horse gallops,马：奔腾
subtitles.entity.horse.hurt,Horse hurts,马：受伤
subtitles.entity.horse.jump,Horse jumps,马：跳跃
subtitles.entity.horse.saddle,Saddle equips,鞍：装备
subtitles.entity.husk.ambient,Husk groans,尸壳：低吼
subtitles.entity.husk.converted_to_zombie,Husk converts to Zombie,尸壳：转化为僵尸
subtitles.entity.husk.death,Husk dies,尸壳：死亡
subtitles.entity.husk.hurt,Husk hurts,尸壳：受伤
subtitles.entity.illusioner.ambient,Illusioner murmurs,幻术师：咕哝
subtitles.entity.illusioner.cast_spell,Illusioner casts spell,幻术师：施法
subtitles.entity.illusioner.death,Illusioner dies,幻术师：死亡
subtitles.entity.illusioner.hurt,Illusioner hurts,幻术师：受伤
subtitles.entity.illusioner.mirror_move,Illusioner displaces,幻术师：替换
subtitles.entity.illusioner.prepare_blindness,Illusioner prepares blindness,幻术师：失明准备
subtitles.entity.illusioner.prepare_mirror,Illusioner prepares mirror image,幻术师：镜像准备
subtitles.entity.iron_golem.attack,Iron Golem attacks,铁傀儡：攻击
subtitles.entity.iron_golem.damage,Iron Golem breaks,铁傀儡：受损
subtitles.entity.iron_golem.death,Iron Golem dies,铁傀儡：死亡
subtitles.entity.iron_golem.hurt,Iron Golem hurts,铁傀儡：受伤
subtitles.entity.iron_golem.repair,Iron Golem repaired,铁傀儡：修复
subtitles.entity.item.break,Item breaks,物品：被破坏
subtitles.entity.item.pickup,Item plops,物品：被拾起
subtitles.entity.item_frame.add_item,Item Frame fills,物品展示框：填充
subtitles.entity.item_frame.break,Item Frame breaks,物品展示框：被破坏
subtitles.entity.item_frame.place,Item Frame placed,物品展示框：被放置
subtitles.entity.item_frame.remove_item,Item Frame empties,物品展示框：清空
subtitles.entity.item_frame.rotate_item,Item Frame clicks,物品展示框：转动
subtitles.entity.leash_knot.break,Leash knot breaks,拴绳结：被破坏
subtitles.entity.leash_knot.place,Leash knot tied,拴绳结：被系上
subtitles.entity.lightning_bolt.impact,Lightning strikes,电闪
subtitles.entity.lightning_bolt.thunder,Thunder roars,雷鸣
subtitles.entity.llama.ambient,Llama bleats,羊驼：吼叫
subtitles.entity.llama.angry,Llama bleats angrily,羊驼：怒吼
subtitles.entity.llama.chest,Llama Chest equips,羊驼：装备箱子
subtitles.entity.llama.death,Llama dies,羊驼：死亡
subtitles.entity.llama.eat,Llama eats,羊驼：进食
subtitles.entity.llama.hurt,Llama hurts,羊驼：受伤
subtitles.entity.llama.spit,Llama spits,羊驼：喷射唾沫
subtitles.entity.llama.step,Llama steps,羊驼：脚步声
subtitles.entity.llama.swag,Llama is decorated,羊驼：被装饰
subtitles.entity.magma_cube.death,Magma Cube dies,岩浆怪：死亡
subtitles.entity.magma_cube.hurt,Magma Cube hurts,岩浆怪：受伤
subtitles.entity.magma_cube.squish,Magma Cube squishes,岩浆怪：移动
subtitles.entity.minecart.riding,Minecart rolls,矿车：行进
subtitles.entity.mooshroom.convert,Mooshroom transforms,哞菇：转化
subtitles.entity.mooshroom.eat,Mooshroom eats,哞菇：进食
subtitles.entity.mooshroom.milk,Mooshroom gets milked,哞菇：被挤奶
subtitles.entity.mooshroom.suspicious_milk,Mooshroom gets milked suspiciously,哞菇：被可疑地挤奶
subtitles.entity.mule.ambient,Mule hee-haws,骡：鸣叫
subtitles.entity.mule.angry,Mule neighs,骡：嘶鸣
subtitles.entity.mule.chest,Mule Chest equips,骡：装备箱子
subtitles.entity.mule.death,Mule dies,骡：死亡
subtitles.entity.mule.eat,Mule eats,骡：进食
subtitles.entity.mule.hurt,Mule hurts,骡：受伤
subtitles.entity.painting.break,Painting breaks,画：被破坏
subtitles.entity.painting.place,Painting placed,画：被放置
subtitles.entity.panda.aggressive_ambient,Panda huffs,熊猫：发怒
subtitles.entity.panda.ambient,Panda pants,熊猫：喘息
subtitles.entity.panda.bite,Panda bites,熊猫：撕咬
subtitles.entity.panda.cant_breed,Panda bleats,熊猫：哀鸣
subtitles.entity.panda.death,Panda dies,熊猫：死亡
subtitles.entity.panda.eat,Panda eats,熊猫：进食
subtitles.entity.panda.hurt,Panda hurts,熊猫：受伤
subtitles.entity.panda.pre_sneeze,Panda's nose tickles,熊猫：鼻痒
subtitles.entity.panda.sneeze,Panda sneezes,熊猫：打喷嚏
subtitles.entity.panda.step,Panda steps,熊猫：脚步声
subtitles.entity.panda.worried_ambient,Panda whimpers,熊猫：呜咽
subtitles.entity.parrot.ambient,Parrot talks,鹦鹉：说话
subtitles.entity.parrot.death,Parrot dies,鹦鹉：死亡
subtitles.entity.parrot.eats,Parrot eats,鹦鹉：进食
subtitles.entity.parrot.fly,Parrot flutters,鹦鹉：扑翼
subtitles.entity.parrot.hurts,Parrot hurts,鹦鹉：受伤
subtitles.entity.parrot.imitate.blaze,Parrot breathes,鹦鹉：呼吸
subtitles.entity.parrot.imitate.creeper,Parrot hisses,鹦鹉：嘶~
subtitles.entity.parrot.imitate.drowned,Parrot gurgles,鹦鹉：咕噜声
subtitles.entity.parrot.imitate.elder_guardian,Parrot flaps,鹦鹉：弹跳
subtitles.entity.parrot.imitate.ender_dragon,Parrot roars,鹦鹉：咆哮
subtitles.entity.parrot.imitate.endermite,Parrot scuttles,鹦鹉：螨叫
subtitles.entity.parrot.imitate.evoker,Parrot murmurs,鹦鹉：咕哝
subtitles.entity.parrot.imitate.ghast,Parrot cries,鹦鹉：哭泣
subtitles.entity.parrot.imitate.guardian,Parrot moans,鹦鹉：低鸣
subtitles.entity.parrot.imitate.hoglin,Parrot growls,鹦鹉：咆哮
subtitles.entity.parrot.imitate.husk,Parrot groans,鹦鹉：低吼
subtitles.entity.parrot.imitate.illusioner,Parrot murmurs,鹦鹉：咕哝
subtitles.entity.parrot.imitate.magma_cube,Parrot squishes,鹦鹉：移动声
subtitles.entity.parrot.imitate.phantom,Parrot screeches,鹦鹉：尖声叫
subtitles.entity.parrot.imitate.piglin,Parrot snorts,鹦鹉：哼叫
subtitles.entity.parrot.imitate.piglin_brute,Parrot snorts mightily,鹦鹉：大声哼叫
subtitles.entity.parrot.imitate.pillager,Parrot murmurs,鹦鹉：咕哝
subtitles.entity.parrot.imitate.ravager,Parrot grunts,鹦鹉：呼噜
subtitles.entity.parrot.imitate.shulker,Parrot lurks,鹦鹉：窥视声
subtitles.entity.parrot.imitate.silverfish,Parrot hisses,鹦鹉：嘶~
subtitles.entity.parrot.imitate.skeleton,Parrot rattles,鹦鹉：咯咯声
subtitles.entity.parrot.imitate.slime,Parrot squishes,鹦鹉：移动声
subtitles.entity.parrot.imitate.spider,Parrot hisses,鹦鹉：嘶~
subtitles.entity.parrot.imitate.stray,Parrot rattles,鹦鹉：咯咯声
subtitles.entity.parrot.imitate.vex,Parrot vexes,鹦鹉：恼人
subtitles.entity.parrot.imitate.vindicator,Parrot mutters,鹦鹉：低语
subtitles.entity.parrot.imitate.witch,Parrot giggles,鹦鹉：暗笑
subtitles.entity.parrot.imitate.wither,Parrot angers,鹦鹉：愤怒
subtitles.entity.parrot.imitate.wither_skeleton,Parrot rattles,鹦鹉：咯咯声
subtitles.entity.parrot.imitate.zoglin,Parrot growls,鹦鹉：咆哮
subtitles.entity.parrot.imitate.zombie,Parrot groans,鹦鹉：低吼
subtitles.entity.parrot.imitate.zombie_villager,Parrot groans,鹦鹉：低吼
subtitles.entity.phantom.ambient,Phantom screeches,幻翼：尖声叫
subtitles.entity.phantom.bite,Phantom bites,幻翼：撕咬
subtitles.entity.phantom.death,Phantom dies,幻翼：死亡
subtitles.entity.phantom.flap,Phantom flaps,幻翼：振翅
subtitles.entity.phantom.hurt,Phantom hurts,幻翼：受伤
subtitles.entity.phantom.swoop,Phantom swoops,幻翼：俯冲
subtitles.entity.pig.ambient,Pig oinks,猪：哼叫
subtitles.entity.pig.death,Pig dies,猪：死亡
subtitles.entity.pig.hurt,Pig hurts,猪：受伤
subtitles.entity.pig.saddle,Saddle equips,鞍：装备
subtitles.entity.piglin.admiring_item,Piglin admires item,猪灵：端详物品
subtitles.entity.piglin.ambient,Piglin snorts,猪灵：哼叫
subtitles.entity.piglin.angry,Piglin snorts angrily,猪灵：愤怒地哼叫
subtitles.entity.piglin.celebrate,Piglin celebrates,猪灵：庆祝
subtitles.entity.piglin.converted_to_zombified,Piglin converts to Zombified Piglin,猪灵：转化为僵尸猪灵
subtitles.entity.piglin.death,Piglin dies,猪灵：死亡
subtitles.entity.piglin.hurt,Piglin hurts,猪灵：受伤
subtitles.entity.piglin.jealous,Piglin snorts enviously,猪灵：羡慕地哼叫
subtitles.entity.piglin.retreat,Piglin retreats,猪灵：退缩
subtitles.entity.piglin.step,Piglin steps,猪灵：脚步声
subtitles.entity.piglin_brute.ambient,Piglin Brute snorts,猪灵蛮兵：哼叫
subtitles.entity.piglin_brute.angry,Piglin Brute snorts angrily,猪灵蛮兵：愤怒地哼叫
subtitles.entity.piglin_brute.converted_to_zombified,Piglin Brute converts to Zombified Piglin,猪灵蛮兵：转化为僵尸猪灵
subtitles.entity.piglin_brute.death,Piglin Brute dies,猪灵蛮兵：死亡
subtitles.entity.piglin_brute.hurt,Piglin Brute hurts,猪灵蛮兵：受伤
subtitles.entity.piglin_brute.step,Piglin Brute steps,猪灵蛮兵：脚步声
subtitles.entity.pillager.ambient,Pillager murmurs,掠夺者：咕哝
subtitles.entity.pillager.celebrate,Pillager cheers,掠夺者：欢呼
subtitles.entity.pillager.death,Pillager dies,掠夺者：死亡
subtitles.entity.pillager.hurt,Pillager hurts,掠夺者：受伤
subtitles.entity.player.attack.crit,Critical attack,暴击
subtitles.entity.player.attack.knockback,Knockback attack,击退攻击
subtitles.entity.player.attack.strong,Strong attack,重击
subtitles.entity.player.attack.sweep,Sweeping attack,横扫攻击
subtitles.entity.player.attack.weak,Weak attack,轻击
subtitles.entity.player.burp,Burp,打嗝
subtitles.entity.player.death,Player dies,玩家：死亡
subtitles.entity.player.freeze_hurt,Player freezes,玩家：冻伤
subtitles.entity.player.hurt,Player hurts,玩家：受伤
subtitles.entity.player.hurt_drown,Player drowning,玩家：溺水
subtitles.entity.player.hurt_on_fire,Player burns,玩家：燃烧
subtitles.entity.player.levelup,Player dings,玩家：升级
subtitles.entity.polar_bear.ambient,Polar Bear groans,北极熊：低吼
subtitles.entity.polar_bear.ambient_baby,Polar Bear hums,北极熊：哼哼
subtitles.entity.polar_bear.death,Polar Bear dies,北极熊：死亡
subtitles.entity.polar_bear.hurt,Polar Bear hurts,北极熊：受伤
subtitles.entity.polar_bear.warning,Polar Bear roars,北极熊：咆哮
subtitles.entity.potion.splash,Bottle smashes,药瓶：碎裂
subtitles.entity.potion.throw,Bottle thrown,药瓶：扔出
subtitles.entity.puffer_fish.blow_out,Pufferfish deflates,河豚：收缩
subtitles.entity.puffer_fish.blow_up,Pufferfish inflates,河豚：膨胀
subtitles.entity.puffer_fish.death,Pufferfish dies,河豚：死亡
subtitles.entity.puffer_fish.flop,Pufferfish flops,河豚：扑腾
subtitles.entity.puffer_fish.hurt,Pufferfish hurts,河豚：受伤
subtitles.entity.puffer_fish.sting,Pufferfish stings,河豚：刺蛰
subtitles.entity.rabbit.ambient,Rabbit squeaks,兔子：吱吱叫
subtitles.entity.rabbit.attack,Rabbit attacks,兔子：攻击
subtitles.entity.rabbit.death,Rabbit dies,兔子：死亡
subtitles.entity.rabbit.hurt,Rabbit hurts,兔子：受伤
subtitles.entity.rabbit.jump,Rabbit hops,兔子：跳动
subtitles.entity.ravager.ambient,Ravager grunts,劫掠兽：呼噜
subtitles.entity.ravager.attack,Ravager bites,劫掠兽：撕咬
subtitles.entity.ravager.celebrate,Ravager cheers,劫掠兽：欢呼
subtitles.entity.ravager.death,Ravager dies,劫掠兽：死亡
subtitles.entity.ravager.hurt,Ravager hurts,劫掠兽：受伤
subtitles.entity.ravager.roar,Ravager roars,劫掠兽：咆哮
subtitles.entity.ravager.step,Ravager steps,劫掠兽：脚步声
subtitles.entity.ravager.stunned,Ravager stunned,劫掠兽：眩晕
subtitles.entity.salmon.death,Salmon dies,鲑鱼：死亡
subtitles.entity.salmon.flop,Salmon flops,鲑鱼：扑腾
subtitles.entity.salmon.hurt,Salmon hurts,鲑鱼：受伤
subtitles.entity.sheep.ambient,Sheep baahs,绵羊：咩~
subtitles.entity.sheep.death,Sheep dies,绵羊：死亡
subtitles.entity.sheep.hurt,Sheep hurts,绵羊：受伤
subtitles.entity.shulker.ambient,Shulker lurks,潜影贝：窥视
subtitles.entity.shulker.close,Shulker closes,潜影贝：关闭
subtitles.entity.shulker.death,Shulker dies,潜影贝：死亡
subtitles.entity.shulker.hurt,Shulker hurts,潜影贝：受伤
subtitles.entity.shulker.open,Shulker opens,潜影贝：打开
subtitles.entity.shulker.shoot,Shulker shoots,潜影贝：射击
subtitles.entity.shulker.teleport,Shulker teleports,潜影贝：传送
subtitles.entity.shulker_bullet.hit,Shulker Bullet explodes,潜影贝导弹：爆炸
subtitles.entity.shulker_bullet.hurt,Shulker Bullet breaks,潜影贝导弹：碎裂
subtitles.entity.silverfish.ambient,Silverfish hisses,蠹虫：嘶嘶
subtitles.entity.silverfish.death,Silverfish dies,蠹虫：死亡
subtitles.entity.silverfish.hurt,Silverfish hurts,蠹虫：受伤
subtitles.entity.skeleton.ambient,Skeleton rattles,骷髅：咯咯声
subtitles.entity.skeleton.converted_to_stray,Skeleton converts to Stray,骷髅：转化为流浪者
subtitles.entity.skeleton.death,Skeleton dies,骷髅：死亡
subtitles.entity.skeleton.hurt,Skeleton hurts,骷髅：受伤
subtitles.entity.skeleton.shoot,Skeleton shoots,骷髅：射击
subtitles.entity.skeleton_horse.ambient,Skeleton Horse cries,骷髅马：嘶叫
